NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Unit Per Package Size,Therapeutic Equivalent Code,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date,Date Reported to CMS
00113,0443,03,L. PERRIGO COMPANY,Active,DCTN TAA 55MCG SPRAY LIQ 2X16.9 ML,01,0078104,N,2,N,07/30/2009,08/17/2016,ML,16.9,NR,Y,02/09/2017,02/09/2017,,,07/29/2026
00113,0517,90,L. PERRIGO COMPANY,Active,IBUPROFEN 200MG ORG CLR CPLT 500'S,01,0077349,N,2,N,03/01/2006,03/01/2006,TAB,1,NR,N,,03/01/2006,,,07/29/2026
00113,6010,03,L. PERRIGO COMPANY,Active,OMEPRAZOLE MAG 20MG BTL CPSL 3X14'S,01,0216096,N,2,N,05/24/2022,11/30/2022,CAP,1,NR,N,06/26/2026,06/26/2026,,,07/29/2026
00113,8264,06,L. PERRIGO COMPANY,Active,NAPROXEN SODIUM 220MG PM CPLT 160'S,01,0208499,N,2,N,05/10/2019,06/19/2019,TAB,1,NR,N,,06/19/2019,,,07/29/2026
00121,1094,01,PAI,Active,Infants' Simethicone Oral Syringe AF DF SF 20mg/.3mL Individual,10,PART332,N,2,N,06/08/2026,07/24/2026,ML,0.3,NR,N,,07/24/2026,,,07/27/2026
00121,1094,03,PAI,Active,Infants' Simethicone Oral Syringe AF DF SF 20mg/.3mL 25ct,10,PART332,N,2,N,06/08/2026,07/24/2026,ML,25,NR,N,,07/24/2026,,,07/27/2026
00143,9476,01,HIKMA PHARMACEUTICALS USA INC.,Active,Epinephrine Inj 1mg/ml (IP),01,0220562,N,1,N,05/29/2026,06/11/2026,ML,1,AP,Y,,06/11/2026,,,07/29/2026
00143,9476,25,HIKMA PHARMACEUTICALS USA INC.,Active,Epinephrine Inj 1mg/ml x 25,01,0220562,N,1,N,05/29/2026,06/11/2026,ML,25,AP,Y,,06/11/2026,,,07/29/2026
00264,8200,01,B. BRAUN MEDICAL INC.,Active,SUGAMMADEX SODIUM,01,0214279,N,1,N,08/25/2025,07/28/2026,ML,2,AP,Y,,07/28/2026,,,07/31/2026
00264,8200,10,B. BRAUN MEDICAL INC.,Active,SUGAMMADEX SODIUM,01,0214279,N,1,N,08/25/2025,07/28/2026,ML,2,AP,Y,,07/28/2026,,,07/31/2026
00299,4908,10,"GALDERMA LABORATORIES, L.P.",Active,Differin Epiduo 15g Pump,03,0220736,I,2,N,06/03/2026,06/03/2026,GM,15,NR,N,,06/03/2026,,,07/29/2026
00299,4908,40,"GALDERMA LABORATORIES, L.P.",Active,Differin Epiduo 45g Pump,03,0220736,I,2,N,06/03/2026,06/03/2026,GM,45,NR,N,,06/03/2026,,,07/29/2026
00310,9501,04,ASTRAZENECA PHARMACEUTICALS LP,Active,TRUQAP TAB 200MG BL 4X8 EA US,03,0218197,S,1,N,11/16/2023,11/28/2023,TAB,32,NR,N,,11/28/2023,,,07/27/2026
11788,0136,01,"AiPing Pharmaceuticals, Inc.",Active,Captopril Tablets 25mg 100s,01,0214442,N,1,N,01/27/2023,06/25/2026,TAB,100,AB,N,,06/25/2026,,,07/30/2026
13107,0284,01,Aurolife Pharma LLC,Active,"Clorazepate Dipotassium Tablets, USP 15mg, 100",01,0071858,N,1,N,09/30/1990,01/05/2022,TAB,100,AB,N,06/15/2026,06/15/2026,,,07/30/2026
16729,0710,53,ACCORD HEALTHCARE INC.,Active,Dehydrated Alcohol,01,0217845,N,1,N,06/23/2025,06/25/2025,ML,25,AP,Y,,06/25/2025,,,07/28/2026
21922,0091,04,ENCUBE ETHICALS PVT. LTD.,Active,Bacitracin Zinc Ointment OTC 0.5oz,10,PART333,N,2,N,03/13/2025,11/01/2025,GM,14,AT,N,,11/01/2025,,,07/31/2026
21922,0091,05,ENCUBE ETHICALS PVT. LTD.,Active,Bacitracin Zinc Ointment OTC 1oz,10,PART333,N,2,N,03/13/2025,11/01/2025,GM,28,AT,N,,11/01/2025,,,07/31/2026
21922,0093,04,ENCUBE ETHICALS PVT. LTD.,Active,Triple Antibiotic Ointment ,10,PART333,N,2,N,10/31/2025,11/01/2025,GM,14,AT,N,,11/01/2025,,,07/31/2026
21922,0093,05,ENCUBE ETHICALS PVT. LTD.,Active,Triple Antibiotic Ointment 1 oz,10,PART333,N,2,N,10/31/2025,11/01/2025,GM,28,AT,N,,11/01/2025,,,07/31/2026
21922,0095,06,ENCUBE ETHICALS PVT. LTD.,Active,Miconazole Antifungal Cream,10,PART333,N,2,N,03/16/2025,12/31/2025,GM,42.5,AT,N,,12/31/2025,,,07/31/2026
23155,0913,05,"HERITAGE PHARMACEUTICALS, INC.",Active,"Oxybutynin Chloride 5mg, 500ct",01,0211682,N,1,N,05/10/2019,10/02/2019,TAB,1,AB,N,06/05/2026,06/05/2026,,,07/29/2026
23155,0952,03,"HERITAGE PHARMACEUTICALS, INC.",Active,Benzphetamine HCL Tabs 50mg 30s,01,0202061,N,1,N,01/27/2012,06/23/2026,TAB,1,AA,N,,06/23/2026,,,07/29/2026
24338,0201,01,AZURITY PHARMACEUTICALS INC.,Active,SUTAB Tablets 1.479g/0.225g/0.188g,03,0213135,S,1,N,11/10/2020,06/19/2026,TAB,24,AB,N,,06/19/2026,,,07/29/2026
24338,0550,01,AZURITY PHARMACEUTICALS INC.,Active,SUFLAVE 178.7g/7.3g/1.12g/0.9g/0.5g,03,0215344,S,1,N,07/15/2023,06/19/2026,EA,1,NR,N,,06/19/2026,,,07/29/2026
25021,0008,05,"SAGENT PHARMACEUTICALS, INC.",Active,TIMOLOL MALEATE OPHTHALMIC GEL FORMING SOLUTION 0.25% 5ML x1,01,0214645,N,1,N,06/24/2022,06/15/2026,ML,5,AP,Y,,06/15/2026,,,07/30/2026
25021,0009,05,"SAGENT PHARMACEUTICALS, INC.",Active,TIMOLOL MALEATE OPHTHALMIC GEL FORMING SOLUTION 0.5% 5ML x1,01,0214645,N,1,N,02/14/2023,06/02/2026,ML,5,AP,Y,,06/02/2026,,,07/30/2026
25021,0505,70,"SAGENT PHARMACEUTICALS, INC.",Active,PHYTONADIONE INJECTABLE EMULSION USP 1MG PER 0.5ML PFS x 10,01,0216444,N,1,N,09/08/2025,06/12/2026,ML,5,AP,Y,,06/12/2026,,,07/30/2026
25021,0618,72,"SAGENT PHARMACEUTICALS, INC.",Active,DIAZEPAM INJECTION USP 10MG PER 2ML (5MG PER ML) PFS x 10,01,0218450,N,1,N,04/25/2024,06/01/2026,ML,20,AP,Y,,06/01/2026,,,07/30/2026
31722,0224,31,"CAMBER PHARMACEUTICALS, INC.",Active,Voriconazole for Injection 200 mg* per vial,01,0218533,N,1,N,04/30/2024,06/22/2026,ML,200,AP,N,,06/22/2026,,,07/30/2026
42192,0327,90,"ACELLA PHARMACEUTICALS, LLC",Active,NP THYROID ORAL TABLET 15 MG 90 CT,12,0000000,N,1,N,09/30/1990,09/30/1990,TAB,1,NR,N,11/16/2016,11/16/2016,,,07/27/2026
42192,0328,90,"ACELLA PHARMACEUTICALS, LLC",Active,NP THYROID ORAL TABLET 120 MG 90 CT,12,0000000,N,1,N,09/30/1990,09/30/1990,TAB,1,NR,N,06/12/2017,06/12/2017,,,07/27/2026
42192,0329,90,"ACELLA PHARMACEUTICALS, LLC",Active,NP THYROID ORAL TABLET 30 MG 90 CT,12,0000000,N,1,N,09/30/1990,09/30/1990,TAB,1,NR,N,01/14/2011,01/14/2011,,,07/27/2026
42192,0330,90,"ACELLA PHARMACEUTICALS, LLC",Active,NP THYROID ORAL TABLET 60 MG 90 CT,12,0000000,N,1,N,09/30/1990,09/30/1990,TAB,1,NR,N,10/19/2010,10/19/2010,,,07/27/2026
42192,0331,90,"ACELLA PHARMACEUTICALS, LLC",Active,NP THYROID ORAL TABLET 90 MG 90 CT,12,0000000,N,1,N,09/30/1990,09/30/1990,TAB,1,NR,N,02/03/2011,02/03/2011,,,07/27/2026
42799,0970,30,EDENBRIDGE PHARMACEUTICALS LLC,Active,Tofacitinib Extended-Release Tablets 11mg,01,0218668,N,1,N,12/16/2024,06/03/2026,TAB,30,AB,N,,06/03/2026,,,07/28/2026
43598,0924,11,"DR. REDDY'S LABORATORIES, INC.",Active,Sugammadex Injection 200 mg/2 mL (100 mg/mL)-IP,01,0214236,N,1,N,07/28/2026,07/28/2026,ML,2,AP,Y,,07/28/2026,,,07/30/2026
43598,0924,26,"DR. REDDY'S LABORATORIES, INC.",Active,Sugammadex 200MG/2ML Inj 10's Vial US,01,0214236,N,1,N,07/28/2026,07/28/2026,ML,20,AP,Y,,07/28/2026,,,07/30/2026
43598,0925,11,"DR. REDDY'S LABORATORIES, INC.",Active,Sugammadex Injection 500 mg/5 mL (100 mg/mL)-IP,01,0214236,N,1,N,07/28/2026,07/28/2026,ML,5,AP,Y,,07/28/2026,,,07/30/2026
43598,0925,37,"DR. REDDY'S LABORATORIES, INC.",Active,Sugammadex Injection 500mg/5mL10's US,01,0214236,N,1,N,07/28/2026,07/28/2026,ML,50,AP,Y,,07/28/2026,,,07/30/2026
51754,8888,04,EXELA PHARMA SCIENCES,Active,"8.4% SODIUM BICARBONATE INJECTION, VIAL, 50MEQ/50ML, HT 25-PACK",01,0211091,N,1,N,06/20/2019,06/09/2026,ML,50,AP,Y,,06/09/2026,,,07/29/2026
57237,0361,01,"Rising Pharma Holdings, Inc.",Active,Sodium chloride tablet 1gm 100CT,10,PART349,N,2,N,02/17/2026,02/17/2026,TAB,100,NR,N,,02/17/2026,,,07/29/2026
59651,0147,30,"AUROBINDO PHARMA USA, INC.",Active,Macitentan Tablets 10 mg- 30,01,0211198,N,1,N,04/18/2023,06/08/2026,TAB,30,AB,N,,06/08/2026,,,07/30/2026
59651,0459,60,"AUROBINDO PHARMA USA, INC.",Active,Tofacitinib Tablets 5 mg- 60,01,0215356,N,1,N,06/03/2026,06/03/2026,TAB,60,AB,N,,06/03/2026,,,07/30/2026
59651,0460,60,"AUROBINDO PHARMA USA, INC.",Active,Tofacitinib Tablets 10 mg- 60,01,0215356,N,1,N,06/03/2026,06/03/2026,TAB,60,AB,N,,06/03/2026,,,07/30/2026
59651,0685,30,"AUROBINDO PHARMA USA, INC.",Active,Tofacitinib Extended-Release Tablets 11 mg- 30,01,0218462,N,1,N,06/03/2024,06/03/2026,TAB,30,AB,N,,06/03/2026,,,07/30/2026
59651,0959,47,"AUROBINDO PHARMA USA, INC.",Active,"Potassium Chloride Oral Solution USP, 10% (20 mEq/15 mL) 473",01,0216536,N,1,N,11/20/2025,06/24/2026,ML,473,AA,N,06/24/2026,06/24/2026,,,07/30/2026
59651,0960,47,"AUROBINDO PHARMA USA, INC.",Active,"Potassium Chloride Oral Solution USP, 20% (40 mEq/15 mL) 473",01,0216536,N,1,N,11/20/2025,06/24/2026,ML,473,AA,N,06/24/2026,06/24/2026,,,07/30/2026
59746,0717,30,"JUBILANT CADISTA PHARMACEUTICALS, INC.",Active,ESLICARBAZEPINE ACETATE 200MG 30CT TAB,01,0211219,N,1,N,08/04/2005,06/25/2026,TAB,30,AB,N,,06/25/2026,,,07/30/2026
59746,0718,30,"JUBILANT CADISTA PHARMACEUTICALS, INC.",Active,ESLICARBAZEPINE ACETATE 400MG 30CT TAB,01,0211219,N,1,N,08/04/2005,06/25/2026,TAB,30,AB,N,,06/25/2026,,,07/30/2026
59746,0719,60,"JUBILANT CADISTA PHARMACEUTICALS, INC.",Active,ESLICARBAZEPINE ACETATE 600MG 60CT TAB,01,0211219,N,1,N,08/04/2005,06/25/2026,TAB,60,AB,N,,06/25/2026,,,07/30/2026
59746,0720,30,"JUBILANT CADISTA PHARMACEUTICALS, INC.",Active,ESLICARBAZEPINE ACETATE 800MG 30CT TAB,01,0211219,N,1,N,08/04/2005,06/25/2026,TAB,30,AB,N,,06/25/2026,,,07/30/2026
60290,0002,01,Umedica Laboratories USA Inc.,Active,SILDENAFIL Tab USD 50mg 30ct,01,0209302,N,1,N,08/25/2020,05/01/2021,TAB,30,AB,N,06/12/2026,06/12/2026,,,07/30/2026
60290,0003,01,Umedica Laboratories USA Inc.,Active,SILDENAFIL Tab USP 100mg 30ct,01,0209302,N,1,N,08/25/2020,06/02/2021,TAB,30,AB,N,06/02/2026,06/02/2026,,,07/30/2026
60290,0003,02,Umedica Laboratories USA Inc.,Active,SILDENAFIL Tab USP 100mg 100ct,01,0209302,N,1,N,08/25/2020,06/02/2021,TAB,100,AB,N,06/02/2026,06/02/2026,,,07/30/2026
60290,0028,01,Umedica Laboratories USA Inc.,Active,Tadalafil Tab USP 5mg 30ct,01,0211298,N,1,N,10/23/2020,02/02/2021,TAB,30,AB,N,06/17/2026,06/17/2026,,,07/30/2026
60290,0029,01,Umedica Laboratories USA Inc.,Active,Tadalafil 10mg 30ct,01,0211298,N,1,N,10/23/2020,02/02/2021,TAB,30,AB,N,07/13/2026,07/13/2026,,,07/30/2026
60290,0029,02,Umedica Laboratories USA Inc.,Active,Tadalafil 10mg 1000ct,01,0211298,N,1,N,10/23/2020,02/02/2021,TAB,1000,AB,N,07/13/2026,07/13/2026,,,07/30/2026
60290,0030,01,Umedica Laboratories USA Inc.,Active,Tadalafil 20mg 30ct,01,0211298,N,1,N,10/23/2020,02/02/2021,TAB,30,AB,N,07/16/2026,07/16/2026,,,07/30/2026
60290,0030,02,Umedica Laboratories USA Inc.,Active,Tadalafil 20mg 1000ct,01,0211298,N,1,N,10/23/2020,02/02/2021,TAB,1000,AB,N,07/16/2026,07/16/2026,,,07/30/2026
60290,0045,02,Umedica Laboratories USA Inc.,Active,Rosuvastatin Calcium 20mg 90ct,01,0207626,N,1,N,04/09/2019,08/01/2023,TAB,90,AB,N,07/08/2026,07/08/2026,,,07/30/2026
60290,0088,01,Umedica Laboratories USA Inc.,Active,Diclofenac Potassium 25mg 30ct,01,0215750,N,1,N,06/30/2025,11/17/2025,TAB,30,AB,N,07/06/2026,07/06/2026,,,07/30/2026
60687,0589,11,AMERICAN HEALTH PACKAGING,Active,Calcium Acetate Capsule,01,0203135,N,1,N,07/05/2026,07/16/2026,CAP,1,AB,N,,07/16/2026,,,07/28/2026
60687,0589,65,AMERICAN HEALTH PACKAGING,Active,Calcium Acetate Capsule,01,0203135,N,1,N,07/05/2026,07/16/2026,CAP,50,AB,N,,07/16/2026,,,07/28/2026
60687,0960,01,AMERICAN HEALTH PACKAGING,Active,Chlorpromazine HCl Tablet,01,0214827,N,1,N,05/17/2026,07/02/2026,TAB,100,AB,N,,07/02/2026,,,07/28/2026
60687,0960,11,AMERICAN HEALTH PACKAGING,Active,Chlorpromazine HCl Tablet,01,0214827,N,1,N,05/17/2026,07/02/2026,TAB,1,AB,N,,07/02/2026,,,07/28/2026
60687,0963,11,AMERICAN HEALTH PACKAGING,Active,Dabigatran Etexilate Capsule,01,0213879,N,1,N,06/02/2026,07/15/2026,CAP,1,AB,N,,07/15/2026,,,07/28/2026
60687,0963,21,AMERICAN HEALTH PACKAGING,Active,Dabigatran Etexilate Capsule,01,0213879,N,1,N,06/02/2026,07/15/2026,CAP,30,AB,N,,07/15/2026,,,07/28/2026
62135,0272,90,CHARTWELL RX LLC,Active,"Ramipril Capsules, USP 2.5mg x 90 count.",01,0078745,N,1,N,06/18/2008,08/01/2020,CAP,90,AB,N,,08/01/2020,,,07/29/2026
62135,0273,90,CHARTWELL RX LLC,Active,"Ramipril Capsules, USP 5mg x 90 count.",01,0078745,N,1,N,06/18/2008,08/01/2020,CAP,90,AB,N,,08/01/2020,,,07/29/2026
62135,0274,90,CHARTWELL RX LLC,Active,"Ramipril Capsules, USP 10mg x 90 count.",01,0078745,N,1,N,06/18/2008,08/01/2020,CAP,90,AB,N,,08/01/2020,,,07/29/2026
62135,0658,90,CHARTWELL RX LLC,Active,Imatinib Mesylate Tablets 100mg x 90 count.,01,0208429,N,1,N,01/17/2019,06/16/2026,TAB,90,AB,N,,06/16/2026,,,07/29/2026
62135,0659,30,CHARTWELL RX LLC,Active,Imatinib Mesylate Tablets 400mg x 30 count.,01,0208429,N,1,N,01/17/2019,06/16/2026,TAB,30,AB,N,,06/16/2026,,,07/29/2026
62135,0752,90,CHARTWELL RX LLC,Active,"Hydroxychloroquine Sulfate Tablets, USP 200mg x 90 count.",01,0210543,N,1,N,07/06/2018,06/16/2026,TAB,90,AB,N,,06/16/2026,,,07/29/2026
62135,0763,26,CHARTWELL RX LLC,Active,"MethylPREDNISolone Tablets, USP 32mg x 25 count.",01,0209097,N,1,N,02/22/2019,06/16/2026,TAB,25,NR,N,,06/16/2026,,,07/29/2026
62135,0864,30,CHARTWELL RX LLC,Active,Vardenafil Hydrochloride Tablets 2.5mg x 30 count.,01,0209057,N,1,N,10/31/2018,06/16/2026,TAB,30,NR,N,,06/16/2026,,,07/29/2026
62135,0887,90,CHARTWELL RX LLC,Active,"Minocycline Hydrochloride Tablets, USP 50mg x 90 count.",01,0065436,N,1,N,12/26/2007,06/16/2026,TAB,90,AB,N,,06/16/2026,,,07/29/2026
62135,0888,60,CHARTWELL RX LLC,Active,"Minocycline Hydrochloride Tablets, USP 75mg x 60 count.",01,0065436,N,1,N,12/26/2007,06/16/2026,TAB,60,AB,N,,06/16/2026,,,07/29/2026
62135,0911,60,CHARTWELL RX LLC,Active,"Etodolac Tablets, USP 500mg x 60 count.",01,0209888,N,1,N,11/30/2018,06/08/2026,TAB,60,AB,N,,06/08/2026,,,07/29/2026
62135,0934,90,CHARTWELL RX LLC,Active,"Thioridazine Hydrochloride Tablets, USP 10mg x 90 count.",01,0088131,N,1,N,09/30/1990,06/08/2026,TAB,90,NR,N,,06/08/2026,,,07/29/2026
62135,0967,90,CHARTWELL RX LLC,Active,"Moexipril Hydrochloride Tablets, USP 7.5mg x 90 count.",01,0077536,N,1,N,11/30/2006,06/16/2026,TAB,90,AB,N,,06/16/2026,,,07/29/2026
62135,0969,90,CHARTWELL RX LLC,Active,"Moexipril Hydrochloride Tablets, USP 15mg x 90 count.",01,0077536,N,1,N,11/30/2006,06/16/2026,TAB,90,AB,N,,06/16/2026,,,07/29/2026
62559,0484,12,"ANI PHARMACEUTICALS, INC.",Active,Carbamazepine ER Capsules 100mg 120ct,01,0076697,N,1,N,05/20/2011,05/20/2011,CAP,120,NR,N,04/16/2026,04/16/2026,,,07/30/2026
62559,0485,12,"ANI PHARMACEUTICALS, INC.",Active,Carbamazepine ER Capsules 200mg 120ct,01,0076697,N,1,N,05/20/2011,05/20/2011,CAP,120,NR,N,04/16/2026,04/16/2026,,,07/30/2026
62559,0486,12,"ANI PHARMACEUTICALS, INC.",Active,Carbamazepine ER Capsules 300mg 120ct,01,0076697,N,1,N,05/20/2011,05/20/2011,CAP,120,AB,N,04/16/2026,04/16/2026,,,07/30/2026
65145,0194,25,Caplin Steriles Limited,Active,POTASSIUM PHOS 15MMOL/5 ML K 22MEQ/5 ML,01,0220373,N,1,N,03/12/2026,06/22/2026,ML,5,AP,Y,,06/22/2026,,,07/28/2026
65145,0195,25,Caplin Steriles Limited,Active,POTASSIUM PHOS 45MMOL/15 ML K 66MEQ/15ML,01,0220373,N,1,N,03/12/2026,06/22/2026,ML,15,AP,Y,,06/22/2026,,,07/28/2026
65145,0196,10,Caplin Steriles Limited,Active,POTASSIUM PHOS 150MMOL/50ML K 220MEQ50ML,01,0220373,N,1,N,03/12/2026,06/22/2026,ML,50,AP,Y,,06/22/2026,,,07/28/2026
65145,0197,10,Caplin Steriles Limited,Active,NICARDIPINE HYDRO 0.9% SODIUM 20MG 200ML,01,0220243,N,1,N,10/22/2025,06/22/2026,ML,200,AP,Y,,06/22/2026,,,07/28/2026
65145,0198,10,Caplin Steriles Limited,Active,NICARDIPINE HYDRO 0.9% SODIUM 40MG 200ML,01,0220243,N,1,N,10/22/2025,06/22/2026,ML,200,AP,Y,,06/22/2026,,,07/28/2026
65145,0200,25,Caplin Steriles Limited,Active,SODIUM PHOSP INJ 15 MM P/5 ML,01,0220683,N,1,N,02/23/2026,06/22/2026,ML,5,AP,Y,,06/22/2026,,,07/28/2026
65145,0201,25,Caplin Steriles Limited,Active,SODIUM PHOSP 45 MM P/15 ML,01,0220683,N,1,N,02/23/2026,06/22/2026,ML,15,AP,Y,,06/22/2026,,,07/28/2026
65145,0202,25,Caplin Steriles Limited,Active,SODIUM PHOSP 150 MM P/50 ML,01,0220683,N,1,N,02/23/2026,06/22/2026,ML,50,AP,Y,,06/22/2026,,,07/28/2026
66302,0660,03,UNITED THERAPEUTICS CORPORATION,Active,Tyvaso DPI Inhalation Powder Maintenance Kit 128 mcg,03,0214324,S,1,Y,05/31/2022,06/23/2026,EA,1,NR,Y,,06/23/2026,,,07/30/2026
67877,0890,88,"ASCEND LABORATORIES, L.L.C.",Active,Mirabegron ER O/S 8mg/ml- 100 ML,01,0219323,N,1,N,01/20/2026,06/15/2026,ML,100,AB,N,,06/15/2026,,,07/28/2026
67877,0900,05,"ASCEND LABORATORIES, L.L.C.",Active,Amlodipine Tabs 2.5 MG 500s,01,0078925,N,1,N,05/04/2009,03/01/2011,TAB,1,AB,N,12/17/2025,12/17/2025,,,07/28/2026
67877,0901,10,"ASCEND LABORATORIES, L.L.C.",Active,Amlodipine Tabs 5mg- 1000's,01,0078925,N,1,N,05/04/2009,02/19/2026,TAB,1,AB,N,,02/19/2026,,,07/28/2026
67877,0902,90,"ASCEND LABORATORIES, L.L.C.",Active,Amlodipine Tabs 10mg- 90's,01,0078925,N,1,N,05/04/2009,03/17/2026,TAB,1,AB,N,,03/17/2026,,,07/28/2026
68001,0700,03,BLUEPOINT LABORATORIES,Active,Labetalol HCL Tablet,01,0074787,N,1,N,03/15/2026,05/01/2026,TAB,500,AB,N,,05/01/2026,,,07/28/2026
68002,0105,01,American Health Packaging,Active,Fluoxetine Capsule,01,0078619,N,1,N,06/19/2026,07/15/2026,CAP,100,AB,N,,07/15/2026,,,07/28/2026
68002,0105,02,American Health Packaging,Active,Fluoxetine Capsule,01,0078619,N,1,N,06/19/2026,07/15/2026,CAP,1,AB,N,,07/15/2026,,,07/28/2026
68047,0159,16,"LARKEN LABORATORIES, INC.",Active,LoHist D,10,PART341,N,2,N,09/15/2003,07/30/2026,ML,1,NR,N,,07/30/2026,,,07/31/2026
68308,0766,30,MAYNE PHARMA INC.,Active,OXYMRTSZOLINE HYDROCHLORIDE,04,0208552,I,1,N,01/18/2017,07/15/2026,GM,30,AB,N,,07/15/2026,,,07/28/2026
69097,0021,60,"CIPLA USA, INC.",Active,ALBUTEROL SULFATE 90ug Inhaler 18G/200 Metered Inhalations,01,0219409,N,1,N,04/22/2026,06/22/2026,GM,18,AB,Y,,06/22/2026,,,07/28/2026
69448,0008,63,ACCORD BIOPHARMA INC.,Active,Filkri; 300 MCG / 0.5 mL; 1 PFS,02,0761027,S,1,N,01/15/2026,06/29/2026,EA,1,NR,Y,,06/29/2026,,,07/30/2026
69516,0140,60,"INTERCEPT PHARMACEUTICALS, INC.",Active,LYNAVOY 40 MG BOTTLE 60 CT,03,0220295,S,1,N,03/17/2026,06/24/2026,TAB,1,NR,N,,06/24/2026,,,07/29/2026
70010,0067,01,"GRANULES PHARMACEUTICALS, INC.",Active,IBUPROFEN 600mg tabs 100ct,01,0091625,N,1,N,09/15/2015,06/16/2026,TAB,100,AB,N,,06/16/2026,,,07/30/2026
70010,0068,01,"GRANULES PHARMACEUTICALS, INC.",Active,IBUPROFEN 800mg tabs 100ct,01,0091625,N,1,N,09/15/2015,06/23/2026,TAB,100,AB,N,,06/23/2026,,,07/30/2026
70244,0031,01,"Sentiss Pharmaceuticals, LLC",Active,Erythromycin Ophthalmic Ointment USP 0.5% 50g,01,0064030,N,1,N,07/18/1996,12/21/2023,GM,50,AT,N,06/15/2026,06/15/2026,,,07/28/2026
70244,0031,02,"Sentiss Pharmaceuticals, LLC",Active,Erythromycin Ophthalmic Ointment USP 0.5% 3.5g,01,0064030,N,1,N,07/18/1996,12/21/2023,GM,3.5,AT,N,06/15/2026,06/15/2026,,,07/28/2026
70244,0034,01,"Sentiss Pharmaceuticals, LLC",Active,"Loteprednol Etabonate Ophthalmic Suspension, 0.5%",01,0207609,N,1,N,04/17/2019,02/27/2024,ML,5,AB,N,06/12/2026,06/12/2026,,,07/28/2026
70244,0035,01,"Sentiss Pharmaceuticals, LLC",Active,"Loteprednol Etabonate Ophthalmic Suspension, 0.2%",01,0215933,N,1,N,04/12/2023,02/08/2024,ML,5,AB,N,06/29/2026,06/29/2026,,,07/28/2026
70244,0036,01,"Sentiss Pharmaceuticals, LLC",Active,Loteprednol Etabonate Ophthalmic Gel 0.5%,01,0212080,N,1,N,02/10/2021,04/08/2024,GM,5,AB,N,06/29/2026,06/29/2026,,,07/28/2026
70244,0041,01,"Sentiss Pharmaceuticals, LLC",Active,Ketotifen Fumarate Ophthalmic Solution 0.25 mg/mL,01,0077958,N,2,N,07/26/2007,11/02/2023,ML,5,NR,N,06/29/2026,06/29/2026,,,07/28/2026
70710,1650,01,ZYDUS PHARMACEUTICALS (USA) INC.,Active,SUGAMMADEX INJ 200MG/2ML (1X2ML)-NS,01,0214290,N,1,N,10/04/2023,07/28/2026,ML,2,AP,Y,07/28/2026,07/28/2026,,,07/30/2026
